ID,Value,Category,Score
1362,510.38,A,79
1363,955.41,C,7
1364,759.06,E,1
1365,172.57,E,26
1366,724.86,A,87
1367,685.97,B,51
1368,46.54,A,43
1369,890.12,B,78
1370,405.61,B,69
1371,330.39,E,48
1372,171.43,E,32
1373,186.03,E,49
1374,937.42,D,81
1375,623.90,D,38
1376,693.64,B,58
1377,185.99,B,98
1378,767.60,D,74
1379,783.66,E,54
1380,671.09,B,16
1381,782.37,D,64
1382,233.19,E,27
1383,876.65,A,36
1384,309.00,C,87
1385,234.01,E,39
1386,170.01,B,47
1387,467.20,E,58
1388,964.03,C,24
1389,347.72,E,1
1390,786.21,E,29
1391,552.23,E,94
1392,679.99,A,74
1393,292.26,B,79
1394,318.98,A,90
1395,712.24,C,70
1396,45.44,C,67
1397,119.84,B,52
1398,523.30,D,29
1399,851.09,E,75
1400,818.02,C,85
1401,180.51,E,19
1402,157.57,E,86
1403,878.04,A,54
1404,507.25,E,58
1405,223.10,C,22
1406,853.32,B,95
1407,176.06,A,82
1408,255.61,D,14
1409,646.61,D,84
1410,336.41,E,8
1411,916.29,E,7
1412,462.53,D,46
1413,171.52,C,47
1414,700.14,C,4
1415,530.43,B,1
1416,69.83,A,13
1417,332.02,A,75
1418,924.88,B,86
1419,512.79,D,44
1420,294.87,A,62
1421,317.25,E,13
1422,353.25,C,72
1423,47.68,A,32
1424,243.08,B,55
1425,768.66,E,48
1426,807.99,A,6
1427,294.67,E,52
1428,391.53,A,15
1429,355.70,D,66
1430,630.43,D,89
1431,477.77,D,2
1432,39.51,B,14
1433,704.84,B,84
1434,491.82,B,33
1435,438.97,A,16
1436,405.87,E,2
1437,962.61,B,2
1438,117.40,C,66
1439,514.16,B,93
1440,153.12,C,45
1441,77.76,D,93
1442,205.74,B,69
1443,831.83,B,63
1444,206.90,A,94
1445,932.31,C,82
1446,444.75,C,60
1447,130.58,C,93
1448,402.07,A,23
1449,491.11,C,48
1450,8.34,E,2
1451,149.21,E,22
1452,721.64,C,88
1453,671.54,D,8
1454,90.72,E,9
1455,361.92,D,53
1456,656.49,C,47
1457,471.52,B,50
1458,235.53,B,62
1459,241.77,C,78
1460,635.19,D,26
1461,463.56,D,95
1462,626.65,A,82
1463,7.90,E,96
1464,68.63,C,76
1465,471.05,C,86
1466,717.40,B,83
1467,49.37,A,81
1468,922.73,D,12
1469,114.08,A,16
1470,810.70,E,55
1471,525.80,A,90
1472,143.01,D,53
1473,598.31,D,30
1474,970.73,E,69
1475,874.98,A,87
1476,186.94,A,23
1477,338.56,D,37
1478,419.48,B,30
1479,853.57,A,92
1480,200.24,E,36
1481,152.19,A,41
1482,951.80,A,19
1483,58.07,C,86
1484,334.57,D,18
1485,800.23,A,53
1486,950.72,A,91
1487,382.34,C,55
1488,264.17,A,42
1489,363.68,C,55
1490,37.97,A,53
1491,81.25,D,75
1492,632.80,A,38
1493,249.25,D,48
1494,786.33,B,53
1495,246.76,E,47
1496,605.55,B,77
1497,140.43,B,93
1498,20.10,D,23
1499,45.42,D,79
1500,764.71,C,45
1501,293.53,B,45
1502,424.49,B,51
1503,638.11,B,67
1504,25.12,E,45
1505,216.76,D,37
1506,748.59,B,64
1507,647.02,B,53
1508,517.14,D,68
1509,105.01,C,17
1510,787.89,C,53
1511,583.65,C,95
1512,432.02,E,43
1513,301.72,C,17
1514,70.22,C,4
1515,118.84,D,83
1516,717.93,A,74
1517,511.76,A,57
1518,169.51,C,31
1519,125.88,E,38
1520,818.17,D,70
1521,138.11,E,85
1522,564.68,C,82
1523,158.15,C,56
1524,475.64,A,97
1525,344.54,B,98
1526,322.62,B,32
1527,643.67,D,41
1528,411.45,D,19
1529,69.05,D,83
1530,112.19,E,0
1531,247.79,E,27
1532,448.57,E,86
1533,789.09,C,79
1534,251.04,E,27
1535,893.58,B,86
1536,276.06,D,75
1537,819.89,C,50
1538,597.19,E,21
1539,293.19,B,76
1540,868.65,A,38
1541,251.18,D,68
1542,993.89,B,99
1543,7.58,E,2
1544,274.30,D,69
1545,447.41,C,17
1546,994.44,E,17
1547,663.21,B,34
1548,208.90,C,21
1549,687.60,A,62
1550,19.78,A,66
1551,118.27,D,50
1552,686.87,C,75
1553,880.66,B,31
1554,748.60,D,9
1555,129.25,B,44
1556,171.48,D,28
1557,685.85,D,21
1558,404.09,E,11
1559,30.01,A,6
1560,412.91,A,72
1561,491.85,A,80
1562,92.77,C,89
1563,548.13,D,25
1564,879.44,A,67
1565,806.85,A,96
1566,81.30,C,60
1567,369.00,B,29
1568,785.64,E,3
1569,939.25,B,51
1570,700.95,B,97
1571,291.38,B,55
1572,9.17,A,32
1573,923.53,E,89
1574,823.13,A,78
1575,291.58,E,41
1576,786.17,C,48
1577,600.44,C,27
1578,246.45,E,98
1579,431.56,C,38
1580,788.81,A,48
1581,1.82,C,20
1582,479.17,E,99
1583,67.81,A,58
1584,941.16,E,55
1585,807.13,B,19
1586,312.30,B,66
1587,797.61,B,75
1588,582.78,B,35
1589,224.28,E,11
1590,713.02,D,25
1591,268.99,A,99
1592,60.34,A,0
1593,344.76,A,57
1594,736.42,A,23
1595,451.23,B,80
1596,142.87,C,62
1597,73.54,B,82
1598,294.68,E,60
1599,368.90,B,85
1600,263.15,C,61
1601,263.10,C,85
1602,226.49,E,89
1603,636.94,A,13
1604,343.14,D,77
1605,294.57,C,54
1606,443.78,B,5
1607,394.85,E,44
1608,386.47,A,91
1609,783.22,C,95
1610,587.93,B,66
1611,816.28,A,54
1612,957.15,D,45
1613,363.00,E,99
1614,499.38,C,39
1615,507.10,E,18
1616,951.24,C,77
1617,732.31,C,20
1618,956.71,E,30
1619,510.97,E,46
1620,248.91,C,94
1621,433.12,A,39
1622,708.61,A,2
1623,632.36,D,87
1624,426.80,B,44
1625,634.84,C,94
1626,46.53,E,7
1627,813.80,E,27
1628,986.22,C,72
1629,317.08,B,79
1630,813.61,E,91
1631,607.04,A,30
1632,737.00,E,85
1633,778.56,D,24
1634,850.23,A,70
1635,100.89,C,26
1636,23.36,A,69
1637,956.25,A,35
1638,664.95,A,4
1639,210.41,C,31
1640,227.46,C,8
1641,516.40,B,97
1642,42.39,A,98
1643,700.67,B,88
1644,768.23,D,34
1645,533.46,A,18
1646,441.45,A,33
1647,6.79,B,4
1648,678.55,B,67
1649,447.87,D,77
1650,384.07,B,79
1651,700.41,C,13
1652,208.73,D,63
1653,861.65,A,11
1654,508.56,A,11
1655,357.62,B,84
1656,585.79,B,85
1657,619.68,D,20
1658,880.96,D,15
1659,197.49,C,0
1660,955.31,B,74
1661,604.12,B,47
1662,269.64,A,36
1663,740.78,D,97
1664,447.43,C,74
1665,337.15,B,77
1666,305.63,E,4
1667,591.42,B,77
1668,11.69,A,9
1669,444.42,C,50
1670,358.01,B,92
1671,468.49,C,15
1672,542.33,A,3
1673,433.71,D,71
1674,422.28,C,81
1675,483.49,C,48
1676,641.13,C,25
1677,181.37,D,96
1678,154.77,E,7
1679,618.36,C,58
1680,38.77,A,56
1681,388.32,E,21
1682,155.72,C,69
1683,712.92,E,27
1684,449.03,A,58
1685,505.63,A,30
1686,308.38,B,92
1687,106.24,A,49
1688,148.85,E,81
1689,469.98,A,68
1690,986.68,D,90
1691,832.77,C,48
1692,551.47,A,69
1693,153.00,C,62
1694,284.02,D,27
1695,59.05,A,57
1696,104.20,E,23
1697,970.87,A,15
1698,527.66,B,89
1699,443.75,A,9
1700,472.93,B,44
1701,472.39,D,8
1702,119.75,A,8
1703,1.77,D,68
1704,958.50,B,90
1705,249.14,D,72
1706,210.55,E,45
1707,51.68,B,44
1708,961.56,B,87
1709,522.12,E,21
1710,375.61,E,78
1711,762.75,C,98
1712,293.14,A,86
1713,914.74,B,38
1714,627.22,D,48
1715,783.24,E,24
1716,790.79,A,68
1717,804.99,C,20
1718,106.93,D,67
1719,337.08,B,23
1720,117.52,D,44
1721,511.27,E,84
1722,272.37,B,5
1723,399.14,E,23
1724,116.75,B,94
1725,372.13,D,45
1726,67.15,A,72
1727,727.31,B,57
1728,952.35,D,81
1729,649.07,B,63
1730,144.09,C,65
1731,718.14,E,8
1732,825.61,D,9
1733,544.66,D,91
1734,263.46,B,46
1735,11.50,D,42
1736,861.68,B,54
1737,591.23,A,30
1738,223.62,D,93
1739,707.71,A,5
1740,41.37,E,72
1741,291.75,D,52
1742,789.59,D,10
1743,863.81,D,7
1744,390.59,A,44
1745,882.14,B,62
1746,530.79,E,61
1747,922.31,E,72
1748,875.72,C,83
1749,395.93,B,98
1750,737.04,B,57
1751,955.17,E,31
1752,543.54,E,28
1753,39.32,C,40
1754,352.01,E,69
1755,261.98,E,43
1756,28.76,B,43
1757,326.16,A,86
1758,611.26,D,31
1759,827.82,B,19
1760,339.60,D,70
1761,214.82,B,28
1762,903.60,D,72
1763,788.38,D,2
1764,638.65,C,33
1765,581.72,D,12
1766,86.65,B,49
1767,860.89,D,45
1768,993.93,A,52
1769,936.94,E,75
1770,534.98,C,88
1771,622.11,A,8
1772,100.33,D,21
1773,619.07,D,24
1774,820.48,C,30
1775,321.91,B,76
1776,65.83,E,76
1777,553.60,C,16
1778,200.92,A,77
1779,476.74,D,75
1780,467.95,E,72
1781,252.29,C,43
1782,493.37,A,37
1783,993.40,A,6
1784,60.45,C,37
1785,560.46,E,40
1786,435.28,A,49
1787,107.12,A,12
1788,94.05,A,91
1789,51.05,E,86
1790,89.40,B,83
1791,916.35,B,53
1792,762.43,E,67
1793,632.04,C,20
1794,322.28,A,85
1795,343.86,B,47
1796,78.30,D,17
1797,269.37,D,9
1798,669.88,B,8
1799,719.85,A,8
1800,533.88,A,15
1801,440.46,A,44
1802,86.16,E,92
1803,911.19,D,57
1804,197.15,A,51
1805,40.74,A,77
1806,767.98,E,65
1807,288.44,B,20
1808,830.34,E,10
1809,680.98,B,69
1810,927.88,B,83
1811,374.01,A,54
1812,981.98,C,38
1813,781.19,D,38
1814,433.17,D,67
1815,588.38,D,83
1816,54.33,A,49
1817,707.35,B,72
1818,699.51,D,11
1819,162.26,B,71
1820,714.95,E,91
1821,654.32,B,59
1822,131.85,C,48
1823,979.62,B,56
1824,153.32,E,73
1825,802.88,D,4
1826,590.82,C,21
1827,974.69,C,5
1828,805.75,E,3
1829,604.05,D,18
1830,341.35,C,63
1831,841.69,E,100
1832,404.96,B,49
1833,249.54,A,77
1834,332.28,E,62
1835,193.85,E,5
1836,198.75,B,95
1837,835.44,E,70
1838,996.80,B,6
1839,656.69,B,30
1840,386.21,E,13
1841,647.55,D,64
1842,808.59,B,27
1843,202.75,A,97
1844,171.80,E,94
1845,668.07,B,65
1846,179.04,D,34
1847,416.90,B,44
1848,453.28,C,88
1849,332.93,A,3
1850,642.14,D,25
1851,915.28,A,23
1852,538.00,B,0
1853,976.50,A,42
1854,240.59,C,87
1855,406.41,E,61
1856,48.62,C,26
1857,814.80,B,17
1858,223.82,C,76
1859,271.05,A,92
1860,686.67,C,90
1861,625.46,B,74
1862,177.52,B,81
1863,766.66,D,22
1864,43.71,A,73
1865,430.34,A,16
1866,365.69,A,52
1867,470.16,A,38
1868,330.66,C,52
1869,230.07,C,33
1870,896.52,B,99
1871,542.17,B,5
1872,771.61,E,55
1873,387.43,B,24
1874,16.05,D,79
1875,999.94,D,35
1876,458.47,E,47
1877,647.69,E,28
1878,516.41,B,39
1879,737.09,D,90
1880,704.89,E,86
1881,546.33,C,2
1882,534.83,A,24
1883,998.18,D,46
1884,317.00,A,70
1885,176.47,E,34
1886,977.78,C,80
1887,999.69,B,93
1888,452.84,A,7
1889,275.89,A,72
1890,618.08,C,34
1891,13.77,B,53
1892,970.69,C,33
1893,62.89,A,27
1894,418.63,A,30
1895,790.06,E,64
1896,784.76,D,29
1897,518.00,C,79
1898,799.14,C,83
1899,47.34,B,4
1900,888.80,D,37
1901,372.68,C,77
1902,36.99,C,89
1903,42.87,C,65
1904,108.95,D,23
1905,395.10,B,21
1906,837.93,D,53
1907,257.23,D,40
1908,71.85,A,30
1909,766.75,A,7
1910,530.70,C,36
1911,369.14,D,30
1912,154.86,D,0
1913,100.89,A,88
1914,497.77,B,2
1915,750.65,A,88
1916,943.88,D,72
1917,562.02,E,5
1918,754.57,C,15
1919,721.91,E,20
1920,242.99,C,57
1921,21.91,B,88
1922,503.95,D,20
1923,880.82,E,53
1924,62.56,A,33
1925,969.32,C,2
1926,753.51,A,30
1927,209.34,B,66
1928,732.90,B,6
1929,774.11,E,70
1930,755.40,D,46
1931,902.42,D,39
1932,496.64,A,36
1933,26.60,A,43
1934,217.98,E,4
1935,875.45,A,4
1936,476.15,C,25
1937,108.12,E,48
1938,114.68,C,24
1939,977.64,B,51
1940,912.37,C,79
1941,794.90,E,44
1942,330.81,C,46
1943,858.66,D,20
1944,387.84,D,35
1945,456.88,B,73
1946,587.27,C,68
1947,38.91,D,33
1948,18.38,B,54
1949,253.40,A,11
1950,778.08,E,68
1951,521.27,E,96
1952,535.23,D,89
1953,664.61,A,99
1954,803.42,D,74
1955,158.75,C,30
1956,883.42,B,26
1957,588.00,C,6
1958,3.27,A,94
1959,194.00,D,40
1960,322.04,A,60
1961,893.01,B,42
1962,941.48,E,32
1963,332.61,C,41
1964,58.39,A,55
1965,819.11,B,36
1966,882.79,E,54
1967,425.44,B,68
1968,22.08,D,31
1969,209.21,A,41
1970,217.91,C,25
1971,329.97,A,11
1972,911.48,A,10
1973,818.70,A,57
1974,458.27,E,28
1975,454.62,B,29
1976,819.47,A,68
1977,178.59,D,37
1978,937.29,A,56
1979,467.39,A,62
1980,425.86,D,94
1981,376.71,B,82
1982,343.08,D,75
1983,583.36,D,25
1984,527.94,D,44
1985,387.07,A,20
1986,908.63,B,35
1987,151.18,C,99
1988,531.65,D,42
1989,171.71,E,26
1990,532.60,A,61
1991,669.83,B,65
1992,859.61,A,51
1993,900.06,C,61
1994,674.23,D,1
1995,121.11,C,45
1996,516.23,D,51
1997,195.13,A,43
1998,506.05,E,52
1999,427.09,E,20
2000,581.18,D,30
2001,197.69,B,32
2002,861.81,D,89
2003,34.40,E,98
2004,524.33,B,69
2005,67.11,E,79
2006,943.87,C,8
2007,826.26,B,53
2008,882.41,C,60
2009,380.65,C,66
2010,740.83,E,4
2011,869.86,A,49
2012,806.78,A,32
2013,696.30,B,59
2014,619.52,B,13
2015,498.42,A,60
2016,778.45,A,70
2017,627.72,D,36
2018,653.15,B,75
2019,461.23,E,17
2020,192.19,B,84
2021,801.22,A,89
2022,264.17,E,4
2023,369.66,A,45
2024,837.50,B,67
2025,72.82,E,50
2026,489.43,C,93
2027,695.37,E,40
2028,808.67,E,42
2029,173.96,E,43
2030,524.81,A,60
2031,270.40,E,23
2032,114.90,C,50
2033,299.25,B,15
2034,852.42,D,58
2035,922.49,C,41
2036,613.44,D,69
2037,51.01,D,60
2038,856.90,C,29
2039,997.34,B,85
2040,124.72,D,52
2041,85.65,A,14
2042,666.69,D,14
2043,312.46,A,79
2044,9.07,C,65
2045,804.71,E,97
2046,588.53,E,58
2047,358.86,A,81
2048,705.68,B,87
2049,972.56,C,99
2050,497.36,C,50
2051,239.91,E,14
2052,677.95,B,9
2053,498.45,C,62
2054,644.25,D,4
2055,387.62,D,19
2056,505.10,E,22
2057,445.26,B,81
2058,959.51,B,18
2059,804.60,C,75
2060,411.34,E,26
2061,101.33,D,31
2062,654.11,D,68
2063,708.66,A,15
2064,854.42,D,20
2065,939.52,C,64
2066,54.86,C,38
2067,427.45,E,66
2068,726.61,B,5
2069,599.97,D,54
2070,726.97,C,37
2071,527.07,B,100
2072,683.92,B,57
2073,49.58,A,10
2074,697.91,D,29
2075,532.41,E,38
2076,895.55,B,80
2077,183.43,C,100
2078,473.11,D,56
2079,655.64,A,64
2080,336.27,C,86
2081,62.55,A,52
2082,971.45,B,23
2083,569.15,A,78
2084,83.43,E,60
2085,182.51,E,89
2086,619.23,E,2
2087,964.67,B,50
2088,305.44,D,59
2089,868.98,E,59
2090,102.13,E,78
2091,822.97,E,97
2092,805.15,C,22
2093,441.62,C,35
2094,934.60,C,53
2095,930.29,B,95
2096,711.18,E,5
2097,85.53,C,51
2098,368.39,E,17
2099,169.55,D,92
2100,355.90,B,38
2101,389.91,A,83
2102,913.53,C,4
2103,153.39,B,31
2104,537.55,D,24
2105,970.72,E,67
2106,288.78,B,89
2107,150.17,D,74
2108,729.03,D,96
2109,438.88,C,62
2110,61.74,D,48
2111,107.64,C,56
2112,821.57,C,77
2113,549.33,E,39
2114,420.61,E,43
2115,780.77,D,81
2116,28.22,D,52
2117,125.06,D,66
2118,768.66,B,88
2119,195.46,B,1
2120,269.59,E,48
2121,513.27,B,14
2122,616.05,E,61
2123,313.78,E,91
2124,635.74,A,76
2125,25.04,D,97
2126,870.46,B,51
2127,312.38,D,70
2128,110.51,C,24
2129,452.70,B,1
2130,43.25,C,87
2131,509.38,D,97
2132,423.34,B,87
2133,838.33,C,81
2134,745.62,E,15
2135,337.46,B,61
2136,130.72,B,56
2137,394.53,D,76
2138,802.37,E,62
2139,299.39,C,76
2140,338.14,C,23
2141,191.00,A,41
2142,703.42,D,95
2143,129.25,C,42
2144,336.71,D,17
2145,215.31,D,40
2146,329.29,D,21
2147,907.29,C,86
2148,115.14,A,38
2149,101.81,D,30
2150,239.95,C,98
2151,34.85,C,29
2152,645.08,A,95
2153,306.39,E,55
2154,708.87,A,66
2155,387.46,C,45
2156,986.92,C,95
2157,80.96,B,59
2158,190.79,C,40
2159,174.58,D,15
2160,423.78,B,33
2161,617.78,A,81
2162,303.41,D,17
2163,948.77,A,35
2164,148.61,A,46
2165,855.26,E,58
2166,265.81,D,9
2167,491.20,A,27
2168,673.78,B,74
2169,808.28,A,4
2170,660.61,E,6
2171,594.27,B,62
2172,449.62,A,32
2173,335.27,B,20
2174,177.42,C,14
2175,757.24,E,28
2176,354.20,B,6
2177,809.22,B,12
2178,360.07,B,64
2179,413.73,B,58
2180,539.72,E,77
2181,618.89,C,87
2182,232.34,A,94
2183,229.22,A,15
2184,619.49,E,44
2185,831.31,B,56
2186,736.34,E,82
2187,914.43,C,13
2188,993.09,A,58
2189,765.28,A,41
2190,561.88,C,12
2191,149.64,D,59
2192,814.44,B,78
2193,127.21,D,14
2194,815.58,D,3
2195,111.86,A,26
2196,393.95,B,29
2197,41.28,D,2
2198,668.89,A,19
2199,590.84,E,0
2200,259.27,A,9
2201,154.97,D,31
2202,120.04,B,15
2203,312.94,A,94
2204,918.84,C,63
2205,435.44,B,46
2206,703.55,C,46
2207,974.91,E,52
2208,402.63,C,100
2209,324.60,A,39
2210,935.78,D,46
2211,659.60,C,25
2212,317.38,C,17
2213,778.83,E,81
2214,94.73,C,59
2215,539.23,D,92
2216,722.44,A,18
2217,507.23,D,52
2218,612.80,D,90
2219,362.37,A,17
2220,498.19,D,72
2221,189.33,A,47
2222,414.07,B,6
2223,832.00,B,36
2224,79.28,C,65
2225,590.68,D,37
2226,359.07,E,11
2227,136.05,B,63
2228,374.41,D,38
2229,280.67,E,51
2230,947.34,E,60
2231,101.41,C,49
2232,832.19,A,4
2233,950.99,D,18
2234,896.09,B,25
2235,637.72,E,14
2236,757.83,C,59
2237,805.52,A,42
2238,625.42,A,7
2239,766.74,D,32
2240,419.42,C,99
2241,184.47,D,93
2242,791.51,A,8
2243,626.64,C,61
2244,184.04,B,29
2245,121.61,E,80
2246,862.42,A,100
2247,803.54,C,85
2248,799.57,B,42
2249,554.77,B,47
2250,247.64,C,87
2251,417.74,E,83
2252,771.35,A,24
2253,219.02,C,42
2254,642.92,A,88
2255,156.47,E,60
2256,207.34,C,22
2257,944.05,D,22
2258,285.24,E,66
2259,11.78,A,44
2260,924.02,E,2
2261,173.61,E,75
2262,535.37,D,95
2263,992.98,E,82
2264,686.89,E,10
2265,609.44,D,68
2266,391.36,C,50
2267,938.24,A,20
2268,378.80,D,81
2269,449.00,C,55
2270,462.49,C,12
2271,164.80,C,88
2272,786.91,A,85
2273,411.31,A,33
2274,304.98,C,4
2275,292.59,A,48
2276,637.77,A,16
2277,718.08,A,75
2278,537.82,A,87
2279,968.12,B,71
2280,379.82,A,6
2281,786.94,C,96
2282,807.52,E,19
2283,491.52,A,56
2284,743.07,A,58
2285,4.05,B,87
2286,303.77,E,11
2287,728.11,D,51
2288,793.28,B,15
2289,716.74,A,24
2290,391.18,E,19
2291,351.01,A,63
2292,520.26,B,76
2293,857.46,D,31
2294,59.52,B,31
2295,625.47,A,54
2296,711.25,C,54
2297,712.17,D,36
2298,838.54,D,9
2299,605.69,A,65
2300,542.98,E,15
2301,333.64,C,33
2302,205.60,E,79
2303,746.32,B,57
2304,681.96,E,70
2305,394.29,A,86
2306,884.79,C,18
2307,904.18,D,82
2308,328.83,E,97
2309,39.21,B,8
2310,555.16,D,52
2311,769.53,A,22
2312,418.23,A,62
2313,734.78,E,86
2314,471.80,B,23
2315,670.81,A,65
2316,943.77,D,13
2317,653.82,B,79
2318,373.20,C,76
2319,42.96,B,7
2320,715.39,D,15
2321,204.34,D,69
2322,663.05,B,78
2323,363.95,C,58
2324,277.79,D,67
2325,651.16,D,90
2326,674.28,A,78
2327,204.22,C,30
2328,278.44,D,11
2329,732.75,A,73
2330,814.87,E,17
2331,313.40,D,16
2332,274.02,D,19
2333,226.36,D,13
2334,798.00,E,96
2335,549.58,E,17
2336,367.43,D,36
2337,822.35,B,4
2338,444.26,D,59
2339,467.81,A,59
2340,657.57,D,63
2341,645.18,A,23
2342,590.10,E,71
2343,758.33,A,98
2344,526.21,E,52
2345,581.90,A,0
2346,87.82,C,95
2347,186.95,D,71
2348,71.33,E,36
2349,657.80,A,1
2350,728.53,E,12
2351,380.84,E,93
2352,588.22,A,16
2353,392.83,E,26
2354,714.29,D,64
2355,893.75,C,66
2356,682.13,D,84
2357,728.49,B,93
2358,604.82,E,9
2359,603.21,C,80
2360,253.75,E,85
2361,678.19,D,0
2362,407.74,C,40
2363,948.58,B,4
2364,124.05,A,6
2365,150.72,D,27
2366,138.30,B,41
2367,239.34,B,71
2368,956.46,D,91
2369,620.89,D,19
2370,996.18,E,35
2371,436.99,A,66
2372,881.17,D,80
2373,312.24,E,3
2374,445.29,D,86
2375,914.85,E,9
2376,367.13,B,40
2377,838.96,A,4
2378,417.59,B,54
2379,145.63,B,74
2380,868.26,E,95
2381,576.16,A,68
2382,155.49,A,41
2383,137.46,C,46
2384,74.27,A,67
2385,63.18,E,15
2386,73.92,A,7
2387,176.85,D,43
2388,421.43,C,34
2389,119.78,B,59
2390,35.09,C,93
2391,12.89,D,73
2392,258.79,D,21
2393,960.34,C,78
2394,901.63,E,67
2395,522.03,C,40
2396,810.36,E,98
2397,997.20,D,5
2398,625.81,D,69
2399,887.19,A,63
2400,815.19,D,38
2401,467.02,A,66
2402,142.79,D,88
2403,992.03,B,35
2404,706.71,A,65
2405,300.82,B,54
2406,520.93,A,65
2407,584.10,A,72
2408,432.67,A,65
2409,112.76,D,38
2410,208.11,C,60
2411,964.82,B,0
2412,965.30,E,100
2413,854.38,A,31
2414,611.69,B,2
2415,683.97,B,54
2416,233.29,C,55
2417,410.22,B,10
2418,325.13,B,65
2419,585.50,B,17
2420,310.02,D,84
2421,60.68,E,18
2422,107.51,C,58
2423,592.15,D,87
2424,545.12,A,83
2425,908.24,B,100
2426,362.89,A,12
2427,287.68,B,15
2428,8.12,B,95
2429,696.75,A,19
2430,643.87,B,77
2431,839.71,B,57
2432,656.53,E,9
2433,979.53,C,37
2434,467.14,C,12
2435,899.70,A,80
2436,520.29,A,9
2437,467.21,A,76
2438,160.17,D,24
2439,381.13,C,14
2440,440.63,A,74
2441,110.59,A,42
2442,461.73,E,63
2443,868.18,B,38
2444,652.67,D,93
2445,193.41,E,83
2446,637.64,A,3
2447,987.13,B,69
2448,553.70,B,29
2449,557.56,D,44
2450,199.97,D,96
2451,339.05,B,93
2452,68.46,E,20
2453,659.58,C,75
2454,908.86,A,81
2455,302.43,E,85
2456,469.24,E,50
2457,234.54,C,17
2458,109.07,C,92
2459,89.72,B,10
2460,467.48,B,84
2461,962.46,A,84
2462,326.14,D,66
2463,576.28,D,58
2464,14.30,C,24
2465,218.39,A,41
2466,793.04,A,100
2467,238.63,A,46
2468,398.40,E,1
2469,85.18,E,11
2470,56.51,D,67
2471,887.37,E,47
2472,562.51,D,74
2473,860.59,B,74
2474,309.22,C,92
2475,489.91,B,1
2476,509.18,A,32
2477,173.95,E,93
2478,752.52,D,14
2479,727.47,C,58
2480,658.15,E,67
2481,678.77,D,19
2482,870.34,E,73
2483,364.68,A,99
2484,342.47,A,3
2485,6.16,B,22
2486,218.98,A,89
2487,471.34,E,39
2488,557.27,B,67
2489,86.04,B,21
2490,458.25,C,29
2491,460.48,C,37
2492,536.44,B,17
2493,890.57,E,18
2494,500.14,B,11
2495,682.42,E,66
2496,578.56,B,23
2497,568.82,A,19
2498,453.21,B,57
2499,570.19,D,23
2500,34.81,B,12
2501,362.77,D,54
2502,205.00,C,45
2503,130.61,C,12
2504,532.01,B,42
2505,105.26,B,27
2506,137.51,E,4
2507,155.50,C,50
2508,497.97,D,2
2509,320.25,D,8
2510,427.12,D,91
2511,93.38,C,15
2512,319.98,E,36
2513,768.28,A,55
2514,972.53,D,48
2515,964.75,B,30
2516,544.60,C,7
2517,169.92,E,82
2518,43.72,B,70
2519,426.63,A,71
2520,595.98,C,29
2521,212.89,E,29
2522,102.81,A,48
2523,141.96,C,82
2524,419.92,E,26
2525,173.69,B,29
2526,429.63,A,94
2527,575.75,D,22
2528,30.24,E,38
2529,470.07,B,19
2530,559.13,D,24
2531,863.38,B,95
2532,566.32,C,85
2533,133.42,E,12
2534,705.05,D,83
2535,330.39,A,73
2536,480.92,E,56
2537,969.62,C,60
2538,859.64,A,51
2539,914.71,A,5
2540,377.77,C,21
2541,33.29,E,70
2542,221.58,B,1
2543,593.01,E,35
2544,110.61,B,98
2545,994.36,B,18
2546,829.09,E,47
2547,545.96,B,11
2548,30.22,C,62
2549,477.57,C,30
2550,709.70,C,92
2551,74.58,D,39
2552,126.76,C,17
2553,857.42,A,66
2554,976.74,D,82
2555,822.70,B,30
2556,301.18,B,42
2557,118.41,D,18
2558,370.16,E,34
2559,99.97,D,73
2560,966.64,E,58
2561,526.83,A,64
2562,456.04,D,87
2563,147.84,E,12
2564,757.17,E,49
2565,123.08,D,82
2566,720.48,C,30
2567,506.11,A,45
2568,857.65,D,26
2569,929.52,C,17
2570,53.57,E,85
2571,644.59,C,76
2572,203.26,D,85
2573,506.66,C,74
2574,422.08,A,53
2575,716.14,A,52
2576,727.54,B,54
2577,748.45,C,3
2578,841.59,D,70
2579,547.92,C,59
2580,422.36,C,55
2581,954.02,E,0
2582,792.25,B,25
2583,131.77,D,41
2584,459.92,E,15
2585,52.15,A,11
2586,304.03,E,85
2587,102.04,C,17
2588,766.35,D,97
2589,341.40,A,90
2590,357.38,E,18
2591,702.46,B,3
2592,808.66,E,16
2593,314.52,C,73
2594,254.23,D,58
2595,116.68,C,95
2596,191.31,E,10
2597,8.00,B,82
2598,59.53,B,17
2599,322.21,B,19
2600,177.44,C,96
2601,212.75,A,74
2602,455.34,E,42
2603,352.63,D,33
2604,878.64,E,37
2605,247.60,A,73
2606,303.79,C,93
2607,400.99,A,87
2608,515.89,A,10
2609,225.26,D,47
2610,92.71,C,59
2611,862.63,D,32
2612,685.11,B,70
2613,657.68,D,65
2614,485.28,E,96
2615,152.34,B,20
2616,112.51,C,81
2617,432.22,D,58
2618,113.94,E,94
2619,544.79,E,91
2620,88.51,A,66
2621,604.70,A,97
2622,830.23,A,59
2623,792.11,D,50
2624,777.13,B,55
2625,636.70,E,73
2626,475.50,E,54
2627,619.95,C,59
2628,275.15,D,66
2629,253.20,D,29
2630,120.59,B,86
2631,728.04,B,62
2632,890.05,E,21
